time,count
5.09733,3.80E+01
5.11686,4.40E+01
5.13639,3.90E+01
5.15592,3.60E+01
5.17545,4.00E+01
5.19498,3.20E+01
5.21451,3.00E+01
5.23404,2.60E+01
5.25357,2.30E+01
5.2731,3.10E+01
5.29263,3.00E+01
5.31216,3.30E+01
5.33169,3.40E+01
5.35122,2.90E+01
5.37075,3.60E+01
5.39028,2.40E+01
5.40981,3.20E+01
5.42934,2.20E+01
5.44887,2.90E+01
5.4684,2.80E+01
5.48793,3.90E+01
5.50746,3.20E+01
5.52699,2.60E+01
5.54652,2.60E+01
5.56605,3.30E+01
5.58558,2.60E+01
5.60511,2.90E+01
5.62464,2.00E+01
5.64417,3.00E+01
5.6637,2.90E+01
5.68323,3.50E+01
5.70276,2.80E+01
5.72229,2.40E+01
5.74182,3.10E+01
5.76135,2.90E+01
5.78088,3.00E+01
5.80041,2.80E+01
5.81994,3.20E+01
5.83947,3.00E+01
5.859,2.90E+01
5.87853,2.80E+01
5.89806,2.00E+01
5.91759,2.70E+01
5.93712,1.70E+01
5.95665,2.40E+01
5.97618,2.70E+01
5.99571,2.10E+01
6.01524,3.20E+01
6.03477,2.10E+01
6.0543,1.60E+01
6.07383,1.60E+01
6.09336,2.50E+01
6.11289,2.50E+01
6.13242,1.10E+01
6.15195,2.50E+01
6.17148,1.80E+01
6.19101,2.00E+01
6.21054,1.50E+01
6.23007,1.70E+01
6.2496,2.50E+01
6.26913,2.30E+01
6.28866,1.80E+01
6.30819,3.30E+01
6.32772,2.30E+01
6.34725,2.00E+01
6.36678,2.10E+01
6.38631,1.90E+01
6.40584,2.70E+01
6.42537,2.00E+01
6.4449,2.60E+01
6.46443,2.40E+01
6.48396,1.80E+01
6.50349,2.30E+01
6.52302,1.40E+01
6.54255,2.40E+01
6.56208,2.10E+01
6.58161,1.70E+01
6.60114,2.10E+01
6.62067,1.70E+01
6.6402,9.00E+00
6.65973,1.60E+01
6.67926,8.00E+00
6.69879,2.00E+01
6.71832,2.40E+01
6.73785,1.60E+01
6.75738,1.40E+01
6.77691,2.50E+01
6.79644,2.00E+01
6.81597,1.60E+01
6.8355,1.00E+01
6.85503,1.40E+01
6.87456,1.30E+01
6.89409,1.50E+01
6.91362,1.30E+01
6.93315,1.50E+01
6.95268,1.30E+01
6.97221,1.90E+01
6.99174,1.90E+01
7.01127,1.60E+01
7.0308,2.20E+01
7.05033,1.40E+01
7.06986,1.10E+01
7.08939,2.10E+01
7.10892,1.40E+01
7.12845,1.60E+01
7.14798,1.40E+01
7.16751,1.80E+01
