t1,V1,I1,t2,V2,I2
2.553775994,0.600402832,2.57904E-07,2.578796993,0.60043335,3.50464E-06
2.563775994,0.600341797,2.53754E-07,2.588796993,0.600402832,3.4967E-06
2.573775994,0.600372314,2.55615E-07,2.598796993,0.600402832,3.48846E-06
2.583775993,0.600372314,2.54639E-07,2.608796993,0.600402832,3.47748E-06
2.593775993,0.60043335,2.52686E-07,2.618796993,0.600402832,3.4729E-06
2.603775993,0.60043335,2.54669E-07,2.628796993,0.600372314,3.46069E-06
2.613775993,0.60043335,2.50946E-07,2.638796993,0.60043335,3.45428E-06
2.623775993,0.60043335,2.52716E-07,2.648796993,0.600341797,3.44574E-06
2.633775993,0.600372314,2.51648E-07,2.658796993,0.600341797,3.43597E-06
2.643775993,0.60043335,2.48413E-07,2.668796993,0.600372314,3.43048E-06
2.653775993,0.600402832,2.50702E-07,2.678796993,0.600372314,3.4198E-06
2.663775993,0.600372314,2.4704E-07,2.688796993,0.60043335,3.41217E-06
2.673775993,0.600463867,2.48627E-07,2.698796993,0.600402832,3.40668E-06
2.683775993,0.600402832,2.47772E-07,2.708796993,0.600402832,3.39508E-06
2.693775993,0.600402832,2.45514E-07,2.718796993,0.600463867,3.39081E-06
2.703775993,0.600402832,2.48291E-07,2.728796993,0.600402832,3.37982E-06
2.713775993,0.600402832,2.44446E-07,2.738796993,0.60043335,3.3728E-06
2.723775993,0.600341797,2.45789E-07,2.748796993,0.600402832,3.36639E-06
2.733775993,0.60043335,2.45575E-07,2.758796993,0.600402832,3.35571E-06
2.743775993,0.60043335,2.43622E-07,2.768796993,0.600402832,3.35236E-06
2.753775993,0.60043335,2.45239E-07,2.778796993,0.600372314,3.34259E-06
2.763775993,0.600402832,2.41669E-07,2.788796993,0.600372314,3.33557E-06
2.773775993,0.600494385,2.43835E-07,2.798796993,0.600372314,3.32886E-06
2.783775993,0.600372314,2.41852E-07,2.808796993,0.600372314,3.31848E-06
2.793775993,0.600402832,2.39716E-07,2.818796993,0.600402832,3.31482E-06
2.803775993,0.60043335,2.42065E-07,2.828796993,0.60043335,3.30536E-06
2.813775993,0.600372314,2.38739E-07,2.838796993,0.600372314,3.29895E-06
2.823775993,0.60043335,2.40326E-07,2.848796993,0.60043335,3.29254E-06
2.833775993,0.600341797,2.39044E-07,2.858796993,0.600372314,3.28369E-06
2.843775993,0.600402832,2.37274E-07,2.868796993,0.600341797,3.27911E-06
2.853775993,0.60043335,2.39899E-07,2.878796993,0.600402832,3.27026E-06
2.863775993,0.60043335,2.3584E-07,2.888796993,0.600402832,3.26385E-06
2.873775993,0.600402832,2.38373E-07,2.898796993,0.600402832,3.25775E-06
2.883775993,0.600494385,2.37183E-07,2.908796993,0.600372314,3.24768E-06
2.893775993,0.60043335,2.35016E-07,2.918796993,0.600463867,3.24524E-06
2.903775993,0.600402832,2.36572E-07,2.928796993,0.600372314,3.23547E-06
2.913775993,0.600463867,2.33032E-07,2.938796993,0.600341797,3.22906E-06
2.923775993,0.600372314,2.35474E-07,2.948796993,0.600402832,3.22388E-06
2.933775993,0.600402832,2.34161E-07,2.958796993,0.600372314,3.21533E-06
2.943775993,0.600463867,2.32513E-07,2.968796993,0.600341797,3.21136E-06
2.953775993,0.60043335,2.34558E-07,2.978796992,0.600372314,3.20282E-06
2.963775993,0.600402832,2.31079E-07,2.988796992,0.600402832,3.19672E-06
2.973775992,0.600341797,2.33734E-07,2.998796992,0.600402832,3.19153E-06
2.983775992,0.60043335,2.33063E-07,3.008796992,0.600341797,3.18237E-06
2.993775992,0.600402832,2.30347E-07,3.018796992,0.600372314,3.17932E-06
3.003775992,0.600402832,2.32727E-07,3.028796992,0.600402832,3.17047E-06
3.013775992,0.600372314,2.27936E-07,3.038796992,0.600372314,3.16528E-06
3.023775992,0.600402832,2.30652E-07,3.048796992,0.600372314,3.1604E-06
3.033775992,0.600402832,2.28851E-07,3.058796992,0.600372314,3.15155E-06
3.043775992,0.600402832,2.27997E-07,3.068796992,0.600402832,3.1485E-06
3.053775992,0.600372314,2.30255E-07,3.078796992,0.600402832,3.13934E-06
3.063775992,0.600372314,2.25952E-07,3.088796992,0.600372314,3.13507E-06
3.073775992,0.600402832,2.2818E-07,3.098796992,0.600372314,3.12958E-06
3.083775992,0.60043335,2.27112E-07,3.108796992,0.600372314,3.12073E-06
3.093775992,0.600372314,2.2467E-07,3.118796992,0.600402832,3.11798E-06
3.103775992,0.600372314,2.27692E-07,3.128796992,0.600372314,3.10913E-06
3.113775992,0.600402832,2.23724E-07,3.138796992,0.600372314,3.10455E-06
3.123775992,0.600402832,2.2644E-07,3.148796992,0.600372314,3.10028E-06
3.133775992,0.600372314,2.24396E-07,3.158796992,0.600402832,3.09143E-06
3.143775992,0.600402832,2.23541E-07,3.168796992,0.600372314,3.08899E-06
3.153775992,0.600402832,2.25708E-07,3.178796992,0.600372314,3.08044E-06
3.163775992,0.60043335,2.22076E-07,3.188796992,0.600341797,3.07587E-06
3.173775992,0.60043335,2.23236E-07,3.198796992,0.600341797,3.07129E-06
3.183775992,0.60043335,2.22809E-07,3.208796992,0.600402832,3.06305E-06
3.193775992,0.60043335,2.20978E-07,3.218796992,0.600372314,3.0603E-06
3.203775992,0.600402832,2.23419E-07,3.228796992,0.600402832,3.05237E-06
3.213775992,0.600372314,2.19147E-07,3.238796992,0.600372314,3.04718E-06
3.223775992,0.600372314,2.21527E-07,3.248796992,0.600372314,3.04352E-06
3.233775992,0.600402832,2.2052E-07,3.258796992,0.600341797,3.03589E-06
3.243775992,0.600402832,2.18323E-07,3.268796992,0.60043335,3.03284E-06
3.253775992,0.600402832,2.21039E-07,3.278796992,0.600341797,3.02551E-06
3.263775992,0.600372314,2.16827E-07,3.288796992,0.600341797,3.02063E-06
3.273775992,0.600402832,2.19086E-07,3.298796992,0.600372314,3.01605E-06
3.283775992,0.600402832,2.18658E-07,3.308796992,0.600372314,3.00873E-06
3.293775992,0.600402832,2.16187E-07,3.318796992,0.600341797,3.00598E-06
3.303775992,0.600402832,2.19604E-07,3.328796992,0.600402832,2.99805E-06
3.313775992,0.60043335,2.15607E-07,3.338796992,0.600372314,2.99408E-06
3.323775992,0.600372314,2.18353E-07,3.348796992,0.600402832,2.98889E-06
3.333775992,0.600402832,2.16797E-07,3.358796992,0.600402832,2.98279E-06
3.343775992,0.600402832,2.14722E-07,3.368796991,0.60043335,2.98035E-06
3.353775992,0.60043335,2.17621E-07,3.378796991,0.600402832,2.97241E-06
3.363775992,0.600341797,2.13165E-07,3.388796991,0.600372314,2.96844E-06
3.373775991,0.600402832,2.14813E-07,3.398796991,0.600372314,2.96539E-06
3.383775991,0.600372314,2.14203E-07,3.408796991,0.600372314,2.95715E-06
3.393775991,0.60043335,2.12341E-07,3.418796991,0.600372314,2.95502E-06
3.403775991,0.600402832,2.14691E-07,3.428796991,0.600372314,2.94769E-06
3.413775991,0.600402832,2.11426E-07,3.438796991,0.600372314,2.94403E-06
3.423775991,0.60043335,2.13074E-07,3.448796991,0.600372314,2.94037E-06
3.433775991,0.600463867,2.12494E-07,3.458796991,0.600372314,2.93274E-06
3.443775991,0.60043335,2.10114E-07,3.468796991,0.600372314,2.93091E-06
3.453775991,0.60043335,2.12952E-07,3.478796991,0.600402832,2.92389E-06
3.463775991,0.60043335,2.09808E-07,3.488796991,0.600372314,2.91962E-06
3.473775991,0.600463867,2.1109E-07,3.498796991,0.600341797,2.91626E-06
3.483775991,0.60043335,2.09991E-07,3.508796991,0.600402832,2.90894E-06
3.493775991,0.60043335,2.08588E-07,3.518796991,0.600372314,2.9068E-06
3.503775991,0.600463867,2.1106E-07,3.528796991,0.600402832,2.9007E-06
3.513775991,0.600463867,2.07001E-07,3.538796991,0.600402832,2.89551E-06
3.523775991,0.600372314,2.0932E-07,3.548796991,0.600463867,2.89337E-06
3.533775991,0.600372314,2.08557E-07,3.558796991,0.60043335,2.88574E-06
3.543775991,0.60043335,2.06299E-07,3.568796991,0.600402832,2.88391E-06
3.553775991,0.600402832,2.10052E-07,3.578796991,0.60043335,2.87689E-06
3.563775991,0.60043335,2.05017E-07,3.588796991,0.60043335,2.87231E-06
3.573775991,0.600372314,2.07977E-07,3.598796991,0.60043335,2.86987E-06
3.583775991,0.60043335,2.06635E-07,3.608796991,0.600402832,2.86255E-06
3.593775991,0.60043335,2.04895E-07,3.618796991,0.60043335,2.86163E-06
3.603775991,0.60043335,2.07275E-07,3.628796991,0.600402832,2.85461E-06
3.613775991,0.60043335,2.03918E-07,3.638796991,0.600463867,2.85065E-06
3.623775991,0.600402832,2.05627E-07,3.648796991,0.600402832,2.8476E-06
3.633775991,0.60043335,2.04956E-07,3.658796991,0.600372314,2.84149E-06
3.643775991,0.600372314,2.03278E-07,3.668796991,0.60043335,2.83966E-06
3.653775991,0.60043335,2.05841E-07,3.678796991,0.600402832,2.83264E-06
3.663775991,0.600402832,2.02209E-07,3.688796991,0.60043335,2.82898E-06
3.673775991,0.600402832,2.03949E-07,3.698796991,0.600372314,2.82654E-06
3.683775991,0.60043335,2.03125E-07,3.708796991,0.600341797,2.81982E-06
3.693775991,0.600402832,2.01385E-07,3.718796991,0.600372314,2.81891E-06
3.703775991,0.60043335,2.03857E-07,3.728796991,0.600402832,2.81067E-06
3.713775991,0.60043335,2.00714E-07,3.738796991,0.600372314,2.80731E-06
3.723775991,0.600372314,2.02972E-07,3.748796991,0.60043335,2.80518E-06
3.733775991,0.600372314,2.01904E-07,3.758796991,0.600402832,2.79846E-06
3.743775991,0.600402832,2.00104E-07,3.76879699,0.600372314,2.79724E-06
3.753775991,0.600463867,2.02576E-07,3.77879699,0.60043335,2.79144E-06
3.76377599,0.60043335,1.9873E-07,3.78879699,0.600402832,2.78687E-06
3.77377599,0.600402832,2.01233E-07,3.79879699,0.600372314,2.78503E-06
3.78377599,0.600402832,1.99646E-07,3.80879699,0.600402832,2.77802E-06
3.79377599,0.600402832,1.98273E-07,3.81879699,0.600402832,2.7774E-06
3.80377599,0.60043335,2.00684E-07,3.82879699,0.600372314,2.771E-06
3.81377599,0.600402832,1.96808E-07,3.83879699,0.600402832,2.76672E-06
3.82377599,0.60043335,1.99493E-07,3.84879699,0.600341797,2.76489E-06
3.83377599,0.600402832,1.98212E-07,3.85879699,0.600402832,2.75818E-06
3.84377599,0.60043335,1.96381E-07,3.86879699,0.600372314,2.75696E-06
3.85377599,0.600463867,1.99463E-07,3.87879699,0.60043335,2.75085E-06
3.86377599,0.600372314,1.95251E-07,3.88879699,0.600402832,2.7478E-06
3.87377599,0.600372314,1.97327E-07,3.89879699,0.600402832,2.74567E-06
3.88377599,0.600494385,1.97144E-07,3.90879699,0.60043335,2.73865E-06
3.89377599,0.600402832,1.95557E-07,3.91879699,0.600402832,2.73804E-06
3.90377599,0.600372314,1.9809E-07,3.92879699,0.600402832,2.73254E-06
3.91377599,0.60043335,1.93634E-07,3.93879699,0.60043335,2.72797E-06
3.92377599,0.600402832,1.96045E-07,3.94879699,0.60043335,2.72644E-06
3.93377599,0.60043335,1.95709E-07,3.95879699,0.600402832,2.71973E-06
3.94377599,0.600402832,1.93176E-07,3.96879699,0.60043335,2.71942E-06
3.95377599,0.600402832,1.96167E-07,3.97879699,0.600402832,2.71332E-06
3.96377599,0.600402832,1.93176E-07,3.98879699,0.600463867,2.70966E-06
3.97377599,0.600402832,1.94611E-07,3.99879699,0.600372314,2.70752E-06
3.98377599,0.600372314,1.93848E-07,4.00879699,0.600402832,2.70111E-06
3.99377599,0.600402832,1.91956E-07,4.01879699,0.600402832,2.70081E-06
4.00377599,0.600402832,1.95038E-07,4.02879699,0.600402832,2.6947E-06
4.01377599,0.60043335,1.91345E-07,4.03879699,0.600372314,2.69135E-06
4.02377599,0.600463867,1.93207E-07,4.04879699,0.600372314,2.69012E-06
4.03377599,0.600372314,1.92505E-07,4.05879699,0.600402832,2.6828E-06
4.04377599,0.600372314,1.91254E-07,4.06879699,0.600463867,2.6828E-06
4.05377599,0.600402832,1.92871E-07,4.07879699,0.600402832,2.67731E-06
4.06377599,0.600402832,1.89331E-07,4.08879699,0.60043335,2.67334E-06
4.07377599,0.600402832,1.92078E-07,4.09879699,0.60043335,2.67151E-06
4.08377599,0.600402832,1.91467E-07,4.10879699,0.600402832,2.66571E-06
4.09377599,0.600372314,1.89056E-07,4.11879699,0.600402832,2.6651E-06
4.10377599,0.600402832,1.92322E-07,4.12879699,0.600341797,2.6593E-06
4.11377599,0.600402832,1.88629E-07,4.13879699,0.600372314,2.65656E-06
4.12377599,0.600372314,1.90674E-07,4.14879699,0.60043335,2.65442E-06
4.13377599,0.600372314,1.89697E-07,4.15879699,0.60043335,2.64801E-06
4.14377599,0.60043335,1.87653E-07,4.168796989,0.600402832,2.6474E-06
4.15377599,0.60043335,1.91376E-07,4.178796989,0.60043335,2.6416E-06
4.163775989,0.60043335,1.8692E-07,4.188796989,0.600402832,2.63947E-06
4.173775989,0.600402832,1.89056E-07,4.198796989,0.600372314,2.63733E-06
4.183775989,0.600463867,1.88629E-07,4.208796989,0.600402832,2.63153E-06
4.193775989,0.600402832,1.86401E-07,4.218796989,0.600402832,2.63123E-06
4.203775989,0.600402832,1.89362E-07,4.228796989,0.600463867,2.62512E-06
4.213775989,0.60043335,1.8573E-07,4.238796989,0.600402832,2.62238E-06
4.223775989,0.600402832,1.88263E-07,4.248796989,0.600372314,2.62024E-06
4.233775989,0.600463867,1.87073E-07,4.258796989,0.60043335,2.61536E-06
