V_1,I_1,V_2,I_2,V_3,I_3,V_4,I_4
-0.288085938,-3.43231E-06,-0.288085938,-3.367E-06,-0.288085938,-3.32153E-06,-0.288085938,-3.53729E-06
-0.290527344,-3.42133E-06,-0.290527344,-3.35907E-06,-0.290527344,-3.3139E-06,-0.290527344,-3.53546E-06
-0.29296875,-3.40851E-06,-0.29296875,-3.35022E-06,-0.29296875,-3.30566E-06,-0.29296875,-3.52844E-06
-0.295410156,-3.3963E-06,-0.295410156,-3.33954E-06,-0.295410156,-3.29895E-06,-0.295410156,-3.52295E-06
-0.297851563,-3.3844E-06,-0.297851563,-3.3316E-06,-0.297851563,-3.2901E-06,-0.297851563,-3.51746E-06
-0.300292969,-3.3728E-06,-0.300292969,-3.32245E-06,-0.300292969,-3.28033E-06,-0.300292969,-3.51227E-06
-0.302734375,-3.36212E-06,-0.302734375,-3.31299E-06,-0.302734375,-3.27484E-06,-0.302734375,-3.50677E-06
-0.305175781,-3.35236E-06,-0.305175781,-3.30322E-06,-0.305175781,-3.26813E-06,-0.305175781,-3.49976E-06
-0.307617188,-3.34106E-06,-0.307617188,-3.29651E-06,-0.307617188,-3.26111E-06,-0.307617188,-3.49365E-06
-0.310058594,-3.33008E-06,-0.310058594,-3.28766E-06,-0.310058594,-3.2547E-06,-0.310058594,-3.48846E-06
-0.3125,-3.31909E-06,-0.3125,-3.2785E-06,-0.3125,-3.24799E-06,-0.3125,-3.48297E-06
-0.314941406,-3.30963E-06,-0.314941406,-3.27087E-06,-0.314941406,-3.2431E-06,-0.314941406,-3.47931E-06
-0.317382813,-3.29834E-06,-0.317382813,-3.26233E-06,-0.317382813,-3.23669E-06,-0.317382813,-3.47198E-06
-0.319824219,-3.28613E-06,-0.319824219,-3.25378E-06,-0.319824219,-3.22998E-06,-0.319824219,-3.46802E-06
-0.322265625,-3.27515E-06,-0.322265625,-3.24615E-06,-0.322265625,-3.22296E-06,-0.322265625,-3.46283E-06
-0.324707031,-3.26263E-06,-0.324707031,-3.23792E-06,-0.324707031,-3.21564E-06,-0.324707031,-3.45917E-06
-0.327148438,-3.25134E-06,-0.327148438,-3.23029E-06,-0.327148438,-3.20801E-06,-0.327148438,-3.45337E-06
-0.329589844,-3.23853E-06,-0.329589844,-3.22083E-06,-0.329589844,-3.20129E-06,-0.329589844,-3.45032E-06
-0.33203125,-3.22815E-06,-0.33203125,-3.21136E-06,-0.33203125,-3.19397E-06,-0.33203125,-3.44543E-06
-0.334472656,-3.21594E-06,-0.334472656,-3.20099E-06,-0.334472656,-3.18695E-06,-0.334472656,-3.43994E-06
-0.336914063,-3.20587E-06,-0.336914063,-3.19061E-06,-0.336914063,-3.17902E-06,-0.336914063,-3.43475E-06
-0.339355469,-3.19489E-06,-0.339355469,-3.18146E-06,-0.339355469,-3.17291E-06,-0.339355469,-3.42773E-06
-0.341796875,-3.1839E-06,-0.341796875,-3.17169E-06,-0.341796875,-3.16589E-06,-0.341796875,-3.42407E-06
