t,I
0.330250757,1.8042
0.330070809,1.80115
0.329891155,1.80054
0.329711795,1.80206
0.329532726,1.7981
0.329353949,1.79993
0.329175462,1.79718
0.328997265,1.79626
0.328819358,1.79749
0.328641739,1.79382
0.328464407,1.79657
0.328287362,1.79291
0.328110603,1.79169
0.327934129,1.79291
0.32775794,1.78925
0.327582034,1.79169
0.327406411,1.78894
0.32723107,1.78772
0.327056011,1.78955
0.326881233,1.78558
0.326706734,1.78772
0.326532514,1.78406
0.326358573,1.78406
0.32618491,1.78558
0.326011524,1.7807
0.325838413,1.78345
0.325665578,1.7804
0.325493018,1.77948
0.325320732,1.78101
0.32514872,1.77643
0.324976979,1.77887
0.324805511,1.77582
0.324634314,1.7749
0.324463387,1.77643
0.32429273,1.77246
0.324122342,1.77551
0.323952222,1.77185
0.32378237,1.77094
0.323612784,1.77246
0.323443465,1.76849
0.323274412,1.77063
0.323105623,1.76788
0.322937098,1.76727
0.322768837,1.76788
0.322600838,1.76453
0.322433102,1.76697
0.322265626,1.76361
0.322098412,1.7627
0.321931458,1.76483
0.321764762,1.76056
0.321598326,1.7627
0.321432148,1.75995
0.321266226,1.75903
0.321100562,1.76056
0.320935154,1.75629
0.320770001,1.75903
0.320605102,1.75568
0.320440458,1.75507
0.320276067,1.75598
0.320111929,1.75232
0.319948043,1.75507
0.319784408,1.7514
0.319621025,1.75201
0.319457891,1.75293
0.319295007,1.74835
0.319132372,1.7511
0.318969985,1.74744
0.318807846,1.74713
0.318645953,1.74866
0.318484307,1.74469
0.318322907,1.74713
0.318161752,1.74408
0.318000842,1.74347
0.317840175,1.74469
0.317679752,1.74103
0.317519571,1.74347
0.317359633,1.74042
0.317199936,1.74011
0.317040479,1.74072
0.316881263,1.73737
0.316722287,1.73981
0.316563549,1.73645
0.31640505,1.73523
0.316246789,1.73767
0.316088765,1.7334
0.315930978,1.73615
0.315773427,1.73218
0.315616111,1.73187
0.31545903,1.7334
0.315302184,1.72943
0.315145571,1.73218
0.314989191,1.72821
0.314833044,1.72852
0.314677129,1.72974
0.314521446,1.72546
0.314365993,1.72882
0.31421077,1.72516
0.314055777,1.72516
0.313901013,1.72577
0.313746478,1.7218
0.313592171,1.72485
0.313438091,1.7215
0.313284239,1.7215
0.313130612,1.72241
0.312977211,1.71906
0.312824036,1.7215
0.312671085,1.71844
0.312518358,1.71814
0.312365855,1.71936
0.312213575,1.71448
0.312061518,1.71783
0.311909682,1.71448
0.311758068,1.71448
0.311606675,1.71509
0.311455502,1.71173
0.311304549,1.71387
0.311153815,1.71051
0.311003299,1.71051
0.310853003,1.71173
0.310702923,1.70807
0.310553061,1.71021
0.310403416,1.70715
0.310253987,1.70685
0.310104773,1.70746
0.309955774,1.70441
0.30980699,1.70746
0.30965842,1.70349
0.309510064,1.70288
0.30936192,1.70502
0.309213989,1.70074
0.30906627,1.70319
0.308918763,1.70013
0.308771467,1.69952
0.308624381,1.70105
0.308477505,1.69739
0.308330838,1.70044
0.308184381,1.69647
0.308038132,1.69647
0.307892091,1.698
0.307746258,1.69342
0.307600631,1.69678
0.307455211,1.69312
0.307309998,1.6925
0.30716499,1.69403
0.307020186,1.69037
0.306875588,1.69281
0.306731193,1.69006
0.306587003,1.68915
0.306443015,1.69067
0.30629923,1.68762
0.306155647,1.68945
0.306012266,1.68701
0.305869087,1.6864
0.305726108,1.68762
0.305583329,1.68365
0.30544075,1.6864
0.305298371,1.68304
0.30515619,1.68304
0.305014208,1.68427
0.304872424,1.67999
0.304730838,1.68304
0.304589448,1.67969
0.304448255,1.67938
0.304307259,1.67999
0.304166458,1.67694
0.304025852,1.67969
0.303885441,1.67664
0.303745225,1.67664
0.303605202,1.67725
0.303465373,1.67389
0.303325737,1.67603
0.303186294,1.67328
0.303047042,1.67267
0.302907983,1.67419
0.302769114,1.67053
0.302630437,1.67328
0.30249195,1.66962
0.302353652,1.66901
0.302215545,1.67084
0.302077626,1.66718
0.301939896,1.66992
0.301802354,1.66565
0.301665,1.66687
0.301527834,1.66748
0.301390854,1.66412
0.301254061,1.66656
0.301117454,1.66321
0.300981032,1.66382
0.300844796,1.66443
0.300708745,1.66046
0.300572878,1.66382
0.300437195,1.66107
0.300301695,1.65955
0.300166379,1.66107
0.300031246,1.65771
0.299896295,1.66077
0.299761526,1.65771
0.299626938,1.6568
0.299492531,1.65833
0.299358306,1.65405
0.29922426,1.65741
0.299090395,1.65466
0.298956709,1.65375
0.298823202,1.65558
0.298689873,1.651
0.298556723,1.65405
0.298423751,1.6507
0.298290957,1.651
0.298158339,1.65222
0.298025899,1.64825
0.297893634,1.65131
0.297761546,1.64795
0.297629633,1.64795
0.297497895,1.64856
0.297366332,1.64551
0.297234944,1.64856
0.297103729,1.6452
0.296972688,1.64581
0.296841821,1.64581
0.296711126,1.64246
0.296580604,1.6452
0.296450253,1.64185
0.296320075,1.64185
0.296190068,1.64307
0.296060231,1.6391
0.295930566,1.64246
0.29580107,1.6391
0.295671745,1.6391
0.295542589,1.64032
0.295413602,1.63635
0.295284784,1.6394
0.295156134,1.63605
0.295027652,1.63635
0.294899338,1.63696
0.294771191,1.63361
0.294643211,1.63605
0.294515397,1.633
0.29438775,1.633
0.294260268,1.63391
0.294132952,1.62994
0.294005802,1.633
0.293878815,1.62994
0.293751994,1.62964
0.293625336,1.63116
0.293498842,1.6275
0.293372511,1.63025
0.293246344,1.6272
0.293120339,1.62689
0.292994496,1.62872
0.292868815,1.62415
0.292743296,1.6272
0.292617938,1.62445
0.292492741,1.62445
0.292367705,1.62537
0.292242828,1.6217
0.292118112,1.62506
0.291993555,1.62201
0.291869157,1.6214
0.291744919,1.62231
0.291620838,1.61865
0.291496916,1.6214
0.291373152,1.61804
0.291249545,1.61865
0.291126096,1.61926
0.291002803,1.61591
0.290879667,1.61865
0.290756687,1.61591
0.290633862,1.6156
0.290511194,1.61682
0.29038868,1.61316
0.290266322,1.61621
0.290144118,1.61346
0.290022068,1.61255
0.289900172,1.61377
0.28977843,1.61041
0.28965684,1.61285
0.289535404,1.6098
0.289414121,1.6098
0.289292989,1.61133
0.28917201,1.60706
0.289051182,1.61072
0.288930506,1.60675
0.288809981,1.60736
0.288689606,1.60828
0.288569382,1.60461
0.288449307,1.60767
0.288329383,1.60431
0.288209608,1.60461
0.288089982,1.60583
0.287970505,1.60187
0.287851177,1.60553
0.287731997,1.60156
0.287612964,1.60126
0.28749408,1.60248
0.287375342,1.59912
0.287256752,1.60248
0.287138308,1.59882
0.287020011,1.59912
0.286901859,1.60004
0.286783854,1.59668
0.286665994,1.60004
0.286548279,1.59637
0.286430709,1.59637
0.286313284,1.5976
0.286196003,1.59393
0.286078866,1.59698
0.285961873,1.59424
0.285845023,1.59332
0.285728316,1.59485
0.285611752,1.59058
0.285495331,1.59393
0.285379052,1.59058
0.285262915,1.59058
0.285146919,1.5918
0.285031065,1.58844
0.284915352,1.5918
0.28479978,1.58752
0.284684348,1.58905
0.284569057,1.58966
0.284453906,1.586
0.284338894,1.58905
0.284224022,1.586
0.284109288,1.586
0.283994694,1.58752
0.283880238,1.58295
0.28376592,1.58691
0.283651741,1.58295
0.283537699,1.58356
0.283423794,1.58447
0.283310027,1.58112
0.283196397,1.58447
0.283082903,1.58051
0.282969546,1.58112
0.282856324,1.58234
0.282743239,1.57837
0.282630289,1.58173
0.282517474,1.57776
0.282404794,1.57837
0.282292249,1.57959
0.282179838,1.57562
0.282067562,1.57837
0.281955419,1.57623
0.28184341,1.57562
0.281731535,1.57684
0.281619793,1.57288
0.281508183,1.57593
0.281396706,1.57318
0.281285361,1.57288
0.281174149,1.5741
0.281063068,1.57043
0.280952119,1.5741
0.280841301,1.57104
0.280730614,1.57043
0.280620058,1.57257
0.280509632,1.56769
0.280399337,1.57135
0.280289172,1.56799
0.280179136,1.56799
0.28006923,1.56921
0.279959453,1.56555
0.279849805,1.56891
0.279740286,1.56494
0.279630896,1.56555
0.279521633,1.56708
