V_2,I_2,V_3,I_3
0.549316406,3.08685E-06,0.549316406,2.32941E-06
0.551757813,3.10181E-06,0.551757813,2.33734E-06
0.554199219,3.11646E-06,0.554199219,2.34467E-06
0.556640625,3.13232E-06,0.556640625,2.3526E-06
0.559082031,3.1488E-06,0.559082031,2.36115E-06
0.561523438,3.16528E-06,0.561523438,2.37E-06
0.563964844,3.18237E-06,0.563964844,2.37885E-06
0.56640625,3.19916E-06,0.56640625,2.388E-06
0.568847656,3.21716E-06,0.568847656,2.39685E-06
0.571289063,3.23517E-06,0.571289063,2.40631E-06
0.573730469,3.25317E-06,0.573730469,2.41547E-06
0.576171875,3.27148E-06,0.576171875,2.42401E-06
0.578613281,3.2901E-06,0.578613281,2.43286E-06
0.581054688,3.30902E-06,0.581054688,2.4408E-06
0.583496094,3.32672E-06,0.583496094,2.44873E-06
0.5859375,3.34595E-06,0.5859375,2.45636E-06
0.588378906,3.36456E-06,0.588378906,2.46338E-06
0.590820313,3.38409E-06,0.590820313,2.46948E-06
0.593261719,3.40332E-06,0.593261719,2.47589E-06
0.595703125,3.42316E-06,0.595703125,2.48169E-06
0.598144531,3.4436E-06,0.598144531,2.48779E-06
0.600585938,3.46466E-06,0.600585938,2.4939E-06
0.598144531,3.30719E-06,0.598144531,2.36633E-06
0.595703125,3.17963E-06,0.595703125,2.27417E-06
0.593261719,3.06915E-06,0.593261719,2.19849E-06
0.590820313,2.97058E-06,0.590820313,2.13287E-06
0.588378906,2.88177E-06,0.588378906,2.07367E-06
0.5859375,2.80121E-06,0.5859375,2.02057E-06
0.583496094,2.72675E-06,0.583496094,1.97113E-06
0.581054688,2.65869E-06,0.581054688,1.92566E-06
0.578613281,2.59521E-06,0.578613281,1.88324E-06
0.576171875,2.53693E-06,0.576171875,1.84357E-06
0.573730469,2.48322E-06,0.573730469,1.80664E-06
0.571289063,2.43164E-06,0.571289063,1.77155E-06
0.568847656,2.38556E-06,0.568847656,1.73889E-06
0.56640625,2.34161E-06,0.56640625,1.70807E-06
0.563964844,2.2998E-06,0.563964844,1.67999E-06
0.561523438,2.26074E-06,0.561523438,1.65375E-06
0.559082031,2.22412E-06,0.559082031,1.62903E-06
