V_KCl,I_KCl
0.505371094,2.60773E-07
0.502929688,2.51801E-07
0.500488281,2.42706E-07
0.498046875,2.36084E-07
0.495605469,2.27692E-07
0.493164063,2.20764E-07
0.490722656,2.14508E-07
0.48828125,2.07397E-07
0.485839844,2.00928E-07
0.483398438,1.94275E-07
0.480957031,1.8808E-07
0.478515625,1.81519E-07
0.476074219,1.7453E-07
0.473632813,1.67542E-07
0.471191406,1.60767E-07
0.46875,1.53717E-07
0.466308594,1.47583E-07
0.463867188,1.40808E-07
0.461425781,1.35162E-07
0.458984375,1.29089E-07
0.456542969,1.24634E-07
0.454101563,1.19598E-07
0.451660156,1.14655E-07
0.44921875,1.09924E-07
0.446777344,1.04706E-07
0.444335938,1.00006E-07
0.441894531,9.4574E-08
0.439453125,8.9325E-08
0.437011719,8.43811E-08
0.434570313,7.85828E-08
0.432128906,7.40967E-08
0.4296875,6.87256E-08
0.427246094,6.39648E-08
0.424804688,5.9845E-08
0.422363281,5.66711E-08
0.419921875,5.26123E-08
0.417480469,4.87671E-08
0.415039063,4.47388E-08
0.412597656,4.07715E-08
0.41015625,3.70483E-08
0.407714844,3.26233E-08
0.405273438,2.89703E-08
0.402832031,2.45667E-08
0.400390625,2.02545E-08
0.397949219,1.61407E-08
0.395507813,1.20911E-08
0.393066406,8.21533E-09
0.390625,5.36804E-09
0.388183594,2.09351E-09
0.385742188,-5.7373E-10
0.383300781,-3.27454E-09
0.380859375,-6.49414E-09
0.378417969,-9.60388E-09
0.375976563,-1.29364E-08
0.373535156,-1.71387E-08
0.37109375,-2.03278E-08
0.368652344,-2.40173E-08
0.366210938,-2.82288E-08
0.363769531,-3.13721E-08
0.361328125,-3.51868E-08
0.358886719,-3.8208E-08
0.356445313,-4.06189E-08
0.354003906,-4.48303E-08
0.3515625,-4.6875E-08
0.349121094,-5.01404E-08
0.346679688,-5.27039E-08
0.344238281,-5.52979E-08
0.341796875,-5.87463E-08
0.339355469,-6.18896E-08
0.336914063,-6.63452E-08
0.334472656,-6.88477E-08
0.33203125,-7.32117E-08
0.329589844,-7.62024E-08
0.327148438,-8.00476E-08
0.324707031,-8.35876E-08
0.322265625,-8.67004E-08
0.319824219,-8.95996E-08
0.317382813,-9.17969E-08
0.314941406,-9.44519E-08
0.3125,-9.76257E-08
0.310058594,-1.008E-07
0.307617188,-1.04126E-07
0.305175781,-1.073E-07
0.302734375,-1.11816E-07
0.300292969,-1.14868E-07
0.297851563,-1.19354E-07
0.295410156,-1.23535E-07
0.29296875,-1.2674E-07
0.290527344,-1.30646E-07
0.288085938,-1.33606E-07
0.285644531,-1.37024E-07
0.283203125,-1.39526E-07
0.280761719,-1.42151E-07
0.278320313,-1.45477E-07
0.275878906,-1.49414E-07
0.2734375,-1.52863E-07
0.270996094,-1.56769E-07
0.268554688,-1.61224E-07
0.266113281,-1.66229E-07
0.263671875,-1.69556E-07
0.261230469,-1.7395E-07
0.258789063,-1.78284E-07
