V,I
0.905456543,-2.92297E-07
0.903015137,-2.94708E-07
0.90057373,-3.0191E-07
0.898132324,-3.02124E-07
0.895690918,-3.07922E-07
0.893249512,-3.09448E-07
0.890808105,-3.18604E-07
0.888366699,-3.18298E-07
0.885925293,-3.31421E-07
0.883483887,-3.30811E-07
0.88104248,-3.37524E-07
0.878601074,-3.43018E-07
0.876159668,-3.48816E-07
0.873718262,-3.57361E-07
0.871276855,-3.60107E-07
0.868835449,-3.71094E-07
0.866394043,-3.63159E-07
0.863952637,-3.77197E-07
0.86151123,-3.85742E-07
0.859069824,-3.97949E-07
0.856628418,-3.99475E-07
0.854187012,-4.16565E-07
0.851745605,-4.17175E-07
0.849304199,-4.36707E-07
0.846862793,-4.34265E-07
0.844421387,-4.52576E-07
0.84197998,-4.57764E-07
0.839538574,-4.66614E-07
0.837097168,-4.80042E-07
0.834655762,-4.87061E-07
0.832214355,-4.95911E-07
0.829772949,-5.06287E-07
0.827331543,-5.19104E-07
0.824890137,-5.24902E-07
0.82244873,-5.41382E-07
0.820007324,-5.42297E-07
0.817565918,-5.63965E-07
0.815124512,-5.69458E-07
0.812683105,-5.85938E-07
0.810241699,-5.93567E-07
0.807800293,-6.09741E-07
0.805358887,-6.21338E-07
0.80291748,-6.36597E-07
0.800476074,-6.47583E-07
0.798034668,-6.61316E-07
0.795593262,-6.80237E-07
0.793151855,-6.90918E-07
0.790710449,-7.09839E-07
0.788269043,-7.19299E-07
0.785827637,-7.44019E-07
0.78338623,-7.56531E-07
0.780944824,-7.76367E-07
0.778503418,-7.91016E-07
0.776062012,-8.12683E-07
0.773620605,-8.28857E-07
0.771179199,-8.53882E-07
0.768737793,-8.71582E-07
0.766296387,-8.92029E-07
0.76385498,-9.15527E-07
0.761413574,-9.34448E-07
0.758972168,-9.56421E-07
0.756530762,-9.8053E-07
0.754089355,-1.00983E-06
0.751647949,-1.02844E-06
0.749206543,-1.06262E-06
0.746765137,-1.08093E-06
0.74432373,-1.11481E-06
0.741882324,-1.13739E-06
0.739440918,-1.17096E-06
0.736999512,-1.20056E-06
0.734558105,-1.23077E-06
0.732116699,-1.2619E-06
0.729675293,-1.29456E-06
