V1,I1,V2,I2,V3,I3
0.4296875,6.26526E-06,0.4296875,4.5578E-06,0.4296875,3.34167E-06
0.432128906,6.20117E-06,0.432128906,4.53827E-06,0.432128906,3.34503E-06
0.434570313,6.14014E-06,0.434570313,4.51843E-06,0.434570313,3.34808E-06
0.437011719,6.0791E-06,0.437011719,4.49982E-06,0.437011719,3.34991E-06
0.439453125,6.01807E-06,0.439453125,4.48212E-06,0.439453125,3.35327E-06
0.441894531,5.96008E-06,0.441894531,4.46503E-06,0.441894531,3.35602E-06
0.444335938,5.9021E-06,0.444335938,4.44946E-06,0.444335938,3.35876E-06
0.446777344,5.84717E-06,0.446777344,4.43298E-06,0.446777344,3.36182E-06
0.44921875,5.79224E-06,0.44921875,4.41772E-06,0.44921875,3.36548E-06
0.451660156,5.74036E-06,0.451660156,4.40247E-06,0.451660156,3.36945E-06
0.454101563,5.68848E-06,0.454101563,4.38599E-06,0.454101563,3.37402E-06
0.456542969,5.63965E-06,0.456542969,4.37164E-06,0.456542969,3.37891E-06
0.458984375,5.59082E-06,0.458984375,4.35791E-06,0.458984375,3.3844E-06
0.461425781,5.54504E-06,0.461425781,4.34448E-06,0.461425781,3.38959E-06
0.463867188,5.49927E-06,0.463867188,4.33105E-06,0.463867188,3.39508E-06
0.466308594,5.45349E-06,0.466308594,4.31824E-06,0.466308594,3.40027E-06
0.46875,5.41077E-06,0.46875,4.30664E-06,0.46875,3.40668E-06
0.471191406,5.36804E-06,0.471191406,4.29413E-06,0.471191406,3.41156E-06
0.473632813,5.32532E-06,0.473632813,4.28314E-06,0.473632813,3.41797E-06
0.476074219,5.28564E-06,0.476074219,4.27246E-06,0.476074219,3.42468E-06
0.478515625,5.24597E-06,0.478515625,4.26331E-06,0.478515625,3.43018E-06
0.480957031,5.2063E-06,0.480957031,4.25446E-06,0.480957031,3.43628E-06
0.483398438,5.16968E-06,0.483398438,4.2453E-06,0.483398438,3.4433E-06
0.485839844,5.13306E-06,0.485839844,4.23645E-06,0.485839844,3.45001E-06
0.48828125,5.09644E-06,0.48828125,4.22729E-06,0.48828125,3.45886E-06
0.490722656,5.06287E-06,0.490722656,4.21906E-06,0.490722656,3.46771E-06
0.493164063,5.0293E-06,0.493164063,4.2099E-06,0.493164063,3.47626E-06
0.495605469,4.99573E-06,0.495605469,4.2038E-06,0.495605469,3.48541E-06
0.498046875,4.96216E-06,0.498046875,4.19617E-06,0.498046875,3.49487E-06
0.500488281,4.93164E-06,0.500488281,4.19006E-06,0.500488281,3.50403E-06
0.502929688,4.89868E-06,0.502929688,4.18304E-06,0.502929688,3.5141E-06
0.505371094,4.86755E-06,0.505371094,4.17694E-06,0.505371094,3.52448E-06
0.5078125,4.83795E-06,0.5078125,4.17114E-06,0.5078125,3.53424E-06
0.510253906,4.80927E-06,0.510253906,4.16687E-06,0.510253906,3.5437E-06
0.512695313,4.78149E-06,0.512695313,4.16229E-06,0.512695313,3.5556E-06
0.515136719,4.75433E-06,0.515136719,4.15802E-06,0.515136719,3.56567E-06
0.517578125,4.7287E-06,0.517578125,4.15314E-06,0.517578125,3.57727E-06
0.520019531,4.70337E-06,0.520019531,4.14978E-06,0.520019531,3.58917E-06
0.522460938,4.67957E-06,0.522460938,4.14642E-06,0.522460938,3.60229E-06
0.524902344,4.65668E-06,0.524902344,4.14368E-06,0.524902344,3.61572E-06
0.52734375,4.63257E-06,0.52734375,4.14093E-06,0.52734375,3.62915E-06
0.529785156,4.61029E-06,0.529785156,4.1391E-06,0.529785156,3.64471E-06
0.532226563,4.58801E-06,0.532226563,4.13666E-06,0.532226563,3.65997E-06
0.534667969,4.56635E-06,0.534667969,4.13483E-06,0.534667969,3.67432E-06
0.537109375,4.54468E-06,0.537109375,4.13483E-06,0.537109375,3.68927E-06
0.539550781,4.52454E-06,0.539550781,4.13269E-06,0.539550781,3.70636E-06
0.541992188,4.50348E-06,0.541992188,4.13086E-06,0.541992188,3.72223E-06
0.544433594,4.48456E-06,0.544433594,4.13055E-06,0.544433594,3.73962E-06
0.546875,4.46533E-06,0.546875,4.13239E-06,0.546875,3.75671E-06
0.549316406,4.44733E-06,0.549316406,4.13513E-06,0.549316406,3.77319E-06
0.551757813,4.43024E-06,0.551757813,4.13635E-06,0.551757813,3.79089E-06
0.554199219,4.41315E-06,0.554199219,4.13727E-06,0.554199219,3.81012E-06
0.556640625,4.39728E-06,0.556640625,4.13727E-06,0.556640625,3.83087E-06
0.559082031,4.3811E-06,0.559082031,4.14032E-06,0.559082031,3.85193E-06
0.561523438,4.36615E-06,0.561523438,4.14307E-06,0.561523438,3.87421E-06
0.563964844,4.3512E-06,0.563964844,4.14612E-06,0.563964844,3.89893E-06
0.56640625,4.33655E-06,0.56640625,4.14917E-06,0.56640625,3.92212E-06
0.568847656,4.3222E-06,0.568847656,4.15314E-06,0.568847656,3.94623E-06
0.571289063,4.30878E-06,0.571289063,4.1571E-06,0.571289063,3.97095E-06
0.573730469,4.29535E-06,0.573730469,4.16229E-06,0.573730469,3.99597E-06
0.576171875,4.28131E-06,0.576171875,4.16687E-06,0.576171875,4.02283E-06
0.578613281,4.26941E-06,0.578613281,4.17297E-06,0.578613281,4.0506E-06
0.581054688,4.25812E-06,0.581054688,4.17877E-06,0.581054688,4.07837E-06
0.583496094,4.24622E-06,0.583496094,4.18549E-06,0.583496094,4.11011E-06
0.5859375,4.23615E-06,0.5859375,4.1925E-06,0.5859375,4.13971E-06
0.588378906,4.22668E-06,0.588378906,4.2041E-06,0.588378906,4.17267E-06
0.590820313,4.21661E-06,0.590820313,4.21326E-06,0.590820313,4.20837E-06
0.593261719,4.20746E-06,0.593261719,4.22211E-06,0.593261719,4.2453E-06
0.595703125,4.19891E-06,0.595703125,4.23096E-06,0.595703125,4.2807E-06
0.598144531,4.19067E-06,0.598144531,4.23798E-06,0.598144531,4.31824E-06
0.600585938,4.18152E-06,0.600585938,4.24835E-06,0.600585938,4.35638E-06
0.598144531,4.05212E-06,0.598144531,4.05609E-06,0.598144531,4.08905E-06
0.595703125,3.95081E-06,0.595703125,3.90015E-06,0.595703125,3.86749E-06
0.593261719,3.86353E-06,0.593261719,3.76648E-06,0.593261719,3.67584E-06
0.590820313,3.78601E-06,0.590820313,3.64746E-06,0.590820313,3.50494E-06
0.588378906,3.71704E-06,0.588378906,3.54126E-06,0.588378906,3.35419E-06
0.5859375,3.65387E-06,0.5859375,3.44543E-06,0.5859375,3.21655E-06
0.583496094,3.59619E-06,0.583496094,3.3609E-06,0.583496094,3.09265E-06
0.581054688,3.54187E-06,0.581054688,3.28064E-06,0.581054688,2.98187E-06
0.578613281,3.49152E-06,0.578613281,3.20831E-06,0.578613281,2.87994E-06
0.576171875,3.44452E-06,0.576171875,3.14087E-06,0.576171875,2.78503E-06
0.573730469,3.39935E-06,0.573730469,3.078E-06,0.573730469,2.69897E-06
0.571289063,3.35663E-06,0.571289063,3.02002E-06,0.571289063,2.62024E-06
0.568847656,3.31665E-06,0.568847656,2.96478E-06,0.568847656,2.54791E-06
0.56640625,3.27789E-06,0.56640625,2.91473E-06,0.56640625,2.47955E-06
0.563964844,3.23975E-06,0.563964844,2.86652E-06,0.563964844,2.41638E-06
0.561523438,3.20374E-06,0.561523438,2.82013E-06,0.561523438,2.35779E-06
0.559082031,3.16956E-06,0.559082031,2.77649E-06,0.559082031,2.30377E-06
0.556640625,3.13721E-06,0.556640625,2.73529E-06,0.556640625,2.2522E-06
0.554199219,3.10516E-06,0.554199219,2.69714E-06,0.554199219,2.20367E-06
0.551757813,3.07404E-06,0.551757813,2.66052E-06,0.551757813,2.15668E-06
0.549316406,3.04535E-06,0.549316406,2.62573E-06,0.549316406,2.11517E-06
0.546875,3.01727E-06,0.546875,2.59277E-06,0.546875,2.0755E-06
