PFC_V,PFC_I,RHA_V,RHA_I,FDM_V,FDM_I
0.551757813,2.37061E-06,-0.249023438,-4.46259E-06,0.446777344,2.65533E-06
0.554199219,2.36267E-06,-0.246582031,-4.39453E-06,0.444335938,2.64191E-06
0.556640625,2.35413E-06,-0.244140625,-4.32373E-06,0.441894531,2.62726E-06
0.559082031,2.3468E-06,-0.241699219,-4.24652E-06,0.439453125,2.61444E-06
0.561523438,2.33856E-06,-0.239257813,-4.16595E-06,0.437011719,2.60071E-06
0.563964844,2.33124E-06,-0.236816406,-4.07867E-06,0.434570313,2.58728E-06
0.56640625,2.3233E-06,-0.234375,-3.9859E-06,0.432128906,2.57385E-06
0.568847656,2.31567E-06,-0.231933594,-3.8858E-06,0.4296875,2.56165E-06
0.571289063,2.30865E-06,-0.229492188,-3.77899E-06,0.427246094,2.54913E-06
0.573730469,2.30225E-06,-0.227050781,-3.66699E-06,0.424804688,2.53754E-06
0.576171875,2.29584E-06,-0.224609375,-3.54706E-06,0.422363281,2.52472E-06
0.578613281,2.28912E-06,-0.222167969,-3.4198E-06,0.419921875,2.51312E-06
0.581054688,2.28302E-06,-0.219726563,-3.28308E-06,0.417480469,2.50061E-06
0.583496094,2.27661E-06,-0.217285156,-3.13812E-06,0.415039063,2.4884E-06
0.5859375,2.27051E-06,-0.21484375,-2.98553E-06,0.412597656,2.4762E-06
0.588378906,2.26471E-06,-0.212402344,-2.82135E-06,0.41015625,2.46307E-06
0.590820313,2.258E-06,-0.209960938,-2.64587E-06,0.407714844,2.45026E-06
0.593261719,2.25189E-06,-0.207519531,-2.46033E-06,0.405273438,2.43713E-06
0.595703125,2.24487E-06,-0.205078125,-2.26563E-06,0.402832031,2.4231E-06
0.598144531,2.23846E-06,-0.202636719,-2.0578E-06,0.400390625,2.40936E-06
0.600585938,2.23267E-06,-0.200195313,-1.83899E-06,0.397949219,2.39532E-06
0.598144531,2.18079E-06,-0.197753906,-1.60919E-06,0.395507813,2.38037E-06
0.595703125,2.14264E-06,-0.1953125,-1.36627E-06,0.393066406,2.36633E-06
0.593261719,2.1109E-06,-0.192871094,-1.1142E-06,0.390625,2.35168E-06
0.590820313,2.08405E-06,-0.190429688,-8.51746E-07,0.388183594,2.33673E-06
0.588378906,2.06024E-06,-0.187988281,-5.79834E-07,0.385742188,2.32056E-06
0.5859375,2.03949E-06,-0.185546875,-3.01086E-07,0.383300781,2.30438E-06
0.583496094,2.01965E-06,-0.183105469,-9.97925E-09,0.380859375,2.28699E-06
0.581054688,2.00195E-06,-0.180664063,2.89124E-07,0.378417969,2.26929E-06
0.578613281,1.98517E-06,-0.178222656,5.96008E-07,0.375976563,2.24976E-06
0.576171875,1.96899E-06,-0.17578125,9.05151E-07,0.373535156,2.22931E-06
0.573730469,1.95465E-06,-0.173339844,1.2262E-06,0.37109375,2.20764E-06
0.571289063,1.94E-06,-0.170898438,1.54907E-06,0.368652344,2.18475E-06
0.568847656,1.92596E-06,-0.168457031,1.87439E-06,0.366210938,2.16034E-06
0.56640625,1.91406E-06,-0.166015625,2.19574E-06,0.363769531,2.1344E-06
0.563964844,1.90125E-06,-0.163574219,2.52258E-06,0.361328125,2.10693E-06
0.561523438,1.89026E-06,-0.161132813,2.84454E-06,0.358886719,2.07855E-06
0.559082031,1.87897E-06,-0.158691406,3.15979E-06,0.356445313,2.04834E-06
0.556640625,1.8689E-06,-0.15625,3.46893E-06,0.354003906,2.01538E-06
