z1,I1,z2,I2,z3,I3,z4,I4,z5,I5
7.36E-08,1.22E-11,9.26E-08,2.14E-11,9.04E-08,3.05E-12,2.72E-10,1.37E-10,4.38E-08,6.10E-11
7.36E-08,1.22E-11,9.26E-08,3.05E-12,9.04E-08,6.10E-12,2.78E-10,1.13E-10,4.38E-08,7.32E-11
7.36E-08,1.53E-11,9.26E-08,1.83E-11,9.04E-08,-9.16E-12,2.84E-10,1.25E-10,4.38E-08,5.80E-11
7.36E-08,1.83E-11,9.26E-08,1.83E-11,9.04E-08,6.10E-12,2.90E-10,9.16E-11,4.38E-08,7.02E-11
7.36E-08,9.31E-17,9.26E-08,2.44E-11,9.04E-08,1.83E-11,2.96E-10,1.31E-10,4.38E-08,5.49E-11
7.36E-08,1.83E-11,9.26E-08,1.53E-11,9.04E-08,1.22E-11,3.02E-10,1.34E-10,4.39E-08,7.32E-11
7.36E-08,1.53E-11,9.26E-08,3.05E-12,9.05E-08,-3.05E-12,3.08E-10,1.25E-10,4.39E-08,6.10E-11
7.37E-08,1.83E-11,9.26E-08,1.83E-11,9.05E-08,3.05E-12,3.13E-10,1.19E-10,4.39E-08,6.41E-11
7.37E-08,1.22E-11,9.26E-08,1.83E-11,9.05E-08,3.05E-12,3.19E-10,1.22E-10,4.39E-08,6.41E-11
7.37E-08,1.22E-11,9.26E-08,2.44E-11,9.05E-08,9.16E-12,3.25E-10,1.19E-10,4.39E-08,6.71E-11
7.37E-08,1.53E-11,9.26E-08,1.53E-11,9.05E-08,9.31E-17,3.31E-10,1.28E-10,4.39E-08,5.80E-11
7.37E-08,2.14E-11,9.26E-08,2.14E-11,9.05E-08,1.22E-11,3.37E-10,1.10E-10,4.39E-08,7.02E-11
7.37E-08,6.10E-12,9.26E-08,1.83E-11,9.05E-08,1.53E-11,3.43E-10,1.28E-10,4.39E-08,4.27E-11
7.37E-08,1.83E-11,9.26E-08,1.83E-11,9.05E-08,6.10E-12,3.49E-10,1.28E-10,4.39E-08,6.10E-11
7.37E-08,2.14E-11,9.26E-08,6.10E-12,9.05E-08,-3.05E-12,3.55E-10,1.28E-10,4.39E-08,6.10E-11
7.37E-08,1.83E-11,9.27E-08,2.14E-11,9.05E-08,9.31E-17,3.61E-10,1.34E-10,4.39E-08,5.49E-11
