V1,I1,V2,I2,I3,I4,I5
7.92E-02,1.28E-10,7.92E-01,5.77E-10,8.42E-10,1.68E-09,1.40E-10
8.08E-02,8.54E-11,8.08E-01,6.23E-10,9.31E-10,1.98E-09,1.68E-10
8.24E-02,9.77E-11,8.24E-01,7.97E-10,1.21E-09,1.94E-09,2.53E-10
8.39E-02,8.24E-11,8.39E-01,7.81E-10,1.07E-09,1.91E-09,2.44E-10
8.55E-02,7.32E-11,8.55E-01,8.21E-10,1.03E-09,2.00E-09,2.47E-10
8.71E-02,7.93E-11,8.71E-01,8.76E-10,1.14E-09,2.24E-09,1.65E-10
8.86E-02,6.41E-11,8.86E-01,8.94E-10,1.07E-09,2.19E-09,1.62E-10
9.02E-02,8.24E-11,9.02E-01,7.81E-10,1.06E-09,2.27E-09,1.59E-10
9.18E-02,6.41E-11,9.18E-01,8.67E-10,1.10E-09,2.32E-09,1.62E-10
9.33E-02,1.19E-10,9.33E-01,8.64E-10,1.08E-09,2.69E-09,1.62E-10
9.49E-02,9.16E-11,9.49E-01,6.87E-10,1.13E-09,2.76E-09,1.31E-10
9.65E-02,1.10E-10,9.65E-01,7.17E-10,1.46E-09,2.57E-09,4.67E-10
9.80E-02,9.16E-11,9.80E-01,8.00E-10,1.35E-09,2.55E-09,2.38E-10
9.96E-02,7.93E-11,9.96E-01,8.67E-10,1.49E-09,2.58E-09,2.04E-10
1.01E-01,9.16E-11,1.01E+00,1.12E-09,1.90E-09,2.63E-09,1.92E-10
1.03E-01,9.16E-11,1.03E+00,8.64E-10,1.60E-09,2.69E-09,1.59E-10
1.04E-01,9.77E-11,1.04E+00,8.39E-10,1.72E-09,2.85E-09,1.62E-10
1.06E-01,1.07E-10,1.06E+00,8.06E-10,1.52E-09,2.61E-09,1.53E-10
1.07E-01,1.56E-10,1.07E+00,7.97E-10,1.51E-09,3.01E-09,1.56E-10
1.09E-01,1.04E-10,1.09E+00,8.42E-10,1.75E-09,2.87E-09,1.56E-10
1.11E-01,1.16E-10,1.11E+00,8.64E-10,2.04E-09,3.07E-09,2.75E-10
1.12E-01,1.10E-10,1.12E+00,8.18E-10,2.19E-09,3.38E-09,2.47E-10
1.14E-01,1.04E-10,1.14E+00,8.03E-10,2.01E-09,3.34E-09,2.32E-10
1.15E-01,9.16E-11,1.15E+00,1.16E-09,2.14E-09,3.92E-09,1.89E-10
1.17E-01,8.54E-11,1.17E+00,1.12E-09,2.13E-09,3.83E-09,1.71E-10
1.18E-01,1.04E-10,1.18E+00,1.15E-09,3.08E-09,3.64E-09,1.46E-10
1.20E-01,1.10E-10,1.20E+00,2.22E-09,2.00E-09,3.40E-09,1.50E-10
1.22E-01,1.07E-10,1.22E+00,1.81E-09,1.85E-09,3.76E-09,1.56E-10
1.23E-01,1.19E-10,1.23E+00,1.86E-09,1.76E-09,3.93E-09,1.46E-10
1.25E-01,1.19E-10,1.25E+00,2.19E-09,1.90E-09,4.53E-09,2.87E-10
1.26E-01,1.22E-10,1.26E+00,2.00E-09,3.45E-09,3.91E-09,2.23E-10
1.28E-01,1.13E-10,1.28E+00,1.25E-09,2.34E-09,4.41E-09,2.44E-10
1.29E-01,1.28E-10,1.29E+00,1.33E-09,2.43E-09,5.15E-09,1.89E-10
1.31E-01,1.13E-10,1.31E+00,1.56E-09,2.15E-09,5.58E-09,1.68E-10
1.33E-01,1.22E-10,1.33E+00,1.51E-09,2.40E-09,5.96E-09,1.65E-10
1.34E-01,1.19E-10,1.34E+00,1.37E-09,2.71E-09,6.99E-09,1.56E-10
1.36E-01,1.22E-10,1.36E+00,1.50E-09,2.94E-09,6.70E-09,1.68E-10
1.37E-01,1.43E-10,1.37E+00,1.56E-09,2.71E-09,6.90E-09,1.56E-10
1.39E-01,1.46E-10,1.39E+00,2.26E-09,2.66E-09,7.23E-09,4.58E-10
1.40E-01,1.28E-10,1.40E+00,1.41E-09,2.85E-09,7.66E-09,2.75E-10
1.42E-01,1.19E-10,1.42E+00,1.72E-09,2.95E-09,7.50E-09,2.44E-10
1.44E-01,1.13E-10,1.44E+00,1.63E-09,3.13E-09,7.65E-09,2.08E-10
1.45E-01,1.07E-10,1.45E+00,1.96E-09,3.35E-09,8.25E-09,1.77E-10
1.47E-01,1.07E-10,1.47E+00,1.95E-09,3.40E-09,7.89E-09,1.56E-10
1.48E-01,1.31E-10,1.48E+00,1.77E-09,3.75E-09,8.43E-09,1.53E-10
1.50E-01,1.40E-10,1.50E+00,2.24E-09,3.58E-09,8.67E-09,1.50E-10
1.51E-01,1.68E-10,1.51E+00,1.84E-09,3.85E-09,9.25E-09,1.59E-10
1.53E-01,1.59E-10,1.53E+00,2.78E-09,4.59E-09,1.01E-08,4.55E-10
1.55E-01,1.59E-10,1.55E+00,2.62E-09,6.28E-09,1.10E-08,2.69E-10
1.56E-01,1.68E-10,1.56E+00,2.52E-09,6.08E-09,1.15E-08,2.41E-10
1.58E-01,1.62E-10,1.58E+00,2.42E-09,9.88E-09,1.16E-08,2.01E-10
1.59E-01,1.59E-10,1.59E+00,2.32E-09,8.56E-09,1.12E-08,1.86E-10
1.61E-01,1.56E-10,1.61E+00,1.75E-09,5.24E-09,1.18E-08,1.53E-10
1.62E-01,1.56E-10,1.62E+00,1.80E-09,5.17E-09,1.21E-08,1.62E-10
1.64E-01,1.56E-10,1.64E+00,1.73E-09,5.44E-09,1.26E-08,1.62E-10
1.65E-01,1.98E-10,1.65E+00,1.63E-09,5.65E-09,1.35E-08,1.62E-10
1.67E-01,1.89E-10,1.67E+00,1.60E-09,6.15E-09,1.42E-08,4.73E-10
1.69E-01,1.89E-10,1.69E+00,2.13E-09,7.41E-09,1.42E-08,2.75E-10
1.70E-01,1.83E-10,1.70E+00,2.52E-09,8.27E-09,1.38E-08,2.44E-10
